B+ Execution Time (ms),Clustering Execution Time (ms),B+ Avg Score,Clustering Avg Score,B+ Max Score,Clustering Max Score,Number of Operators,File
129.3966770172119,731.9478988647461,0.5179248403291272,0.5984270819604304,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1029813/question/6.xml
112.79606819152832,805.4866790771484,0.5737777549664643,0.6521835315878561,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1029813/question/8.xml
69.81420516967773,1149.2812633514404,0.6502678571428571,0.7575045787545788,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1029813/question/9.xml
2129.823923110962,8575.17409324646,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1030204/question/3.xml
239.13192749023438,14370.600938796997,1,1,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1034156/question/1.xml
370.02015113830566,14178.17497253418,1,1,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1034156/question/2.xml
1219.2456722259521,14798.290729522705,1,1,1,1,6,./../../Downloads/dataset_full/dataset_full/math/1034156/question/3.xml
704.3142318725586,4238.054275512695,1,1,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1038340/question/1.xml
399.51467514038086,4547.429323196411,0.7017661505063992,0.8434259259259259,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1038340/question/2.xml
371.870756149292,4689.296245574951,0.7112587326753479,0.8485253456221198,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1038340/question/3.xml
158.55669975280762,4118.337154388428,0.9246031746031746,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/10400/question/1.xml
736.0095977783203,5072.816610336304,0.8869959244959245,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/10400/question/3.xml
301.26166343688965,365.71455001831055,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/10400/question/4.xml
140.33007621765137,1797.8065013885498,0.5360835300771666,0.6758119387815782,1,1,5,./../../Downloads/dataset_full/dataset_full/math/10400/question/5.xml
85.0062370300293,1365.8881187438965,0.6616999263580415,0.9182271432271433,1,1,6,./../../Downloads/dataset_full/dataset_full/math/10400/question/6.xml
168.49470138549805,10156.025171279907,0.9850529100529101,0.9520643756416114,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1040128/question/0.xml
2876.7576217651367,8639.162302017212,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1040128/question/1.xml
133.3615779876709,5516.089677810669,0.5496143784268226,0.7134142983354326,1,1,9,./../../Downloads/dataset_full/dataset_full/math/1040314/question/1.xml
50.52828788757324,115.81826210021973,0.9092261904761905,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1040314/question/17.xml
117.40589141845703,1866.6326999664307,0.6317783816425121,0.7777664859981933,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1040314/question/19.xml
1402.4171829223633,3916.482448577881,0.9912698412698413,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1040314/question/2.xml
1109.5890998840332,3870.3737258911133,0.7666245791245792,0.8603745791245792,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1040314/question/20.xml
166.69178009033203,6015.1848793029785,0.5466069426411516,0.6829478377490426,1,1,10,./../../Downloads/dataset_full/dataset_full/math/1040314/question/4.xml
185.48083305358887,6447.683811187744,0.5471994666616457,0.6486674566736093,1,1,13,./../../Downloads/dataset_full/dataset_full/math/1040314/question/6.xml
148.65374565124512,11135.442733764648,0.5235730894434253,0.6803041591341028,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1040314/question/7.xml
412.9633903503418,548.4282970428467,0.9913194444444444,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1040477/question/0.xml
404.2074680328369,798.6698150634766,0.9010416666666666,0.9010416666666666,1,1,1,./../../Downloads/dataset_full/dataset_full/math/104270/question/0.xml
233.26563835144043,864.044189453125,0.7106684981684982,0.693219696969697,1,1,2,./../../Downloads/dataset_full/dataset_full/math/104270/question/1.xml
372.72024154663086,793.5681343078613,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/104270/question/3.xml
390.0947570800781,846.5313911437988,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/104270/question/4.xml
122.06482887268066,5424.768447875977,0.48903315433564115,0.5748382001368777,1,1,11,./../../Downloads/dataset_full/dataset_full/math/10490/question/0.xml
342.81420707702637,190.41967391967773,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/10490/question/1.xml
202.06427574157715,1043.8258647918701,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/105107/question/1.xml
159.10887718200684,184.42249298095703,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/105107/question/3.xml
1235.8253002166748,5974.7254848480225,0.8027998469252339,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1052870/question/0.xml
691.0912990570068,12117.247343063354,1,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1052870/question/1.xml
674.8876571655273,12041.423559188843,1,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1052870/question/2.xml
2280.4386615753174,11690.372943878174,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1052870/question/3.xml
2310.6889724731445,11940.721988677979,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1052870/question/4.xml
684.3054294586182,12087.615013122559,1,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/105330/question/0.xml
692.9352283477783,12082.970380783081,1,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/105330/question/1.xml
671.8926429748535,12156.532287597656,1,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/105330/question/2.xml
534.9698066711426,7153.102397918701,0.6441650621036551,0.776202612637838,1,1,5,./../../Downloads/dataset_full/dataset_full/math/105330/question/3.xml
2875.246047973633,8510.636806488037,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1054719/question/0.xml
125.25510787963867,109.85827445983887,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1055501/question/0.xml
689.0661716461182,4961.358070373535,0.8148638642059695,0.8208017248785152,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1055538/question/0.xml
107.26356506347656,251.60956382751465,0.6470080085125448,0.6987326378316367,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1055538/question/1.xml
115.18740653991699,243.88575553894043,0.6470080085125448,0.6987326378316367,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1055538/question/3.xml
340.0716781616211,1162.3616218566895,1,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1056707/question/0.xml
902.1048545837402,12499.842405319214,1,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1056707/question/1.xml
83.42981338500977,345.9787368774414,0.5577908298597953,0.7321698844156471,1,1,5,./../../Downloads/dataset_full/dataset_full/math/106126/question/2.xml
1368.4253692626953,3689.060926437378,1,1,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1067078/question/0.xml
317.98505783081055,4207.849025726318,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1067078/question/1.xml
126.28316879272461,405.75528144836426,0.5459150949348537,0.6745039098374306,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1067078/question/2.xml
87.75162696838379,313.3857250213623,0.8903318903318903,0.8689493839493839,1,1,3,./../../Downloads/dataset_full/dataset_full/math/1068/question/0.xml
1896.3072299957275,13746.837377548218,1,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1068/question/1.xml
60.11152267456055,258.9285373687744,0.6151302401302401,0.734967320261438,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1068/question/3.xml
74.69058036804199,282.7613353729248,0.6550053172633817,0.8171905682841445,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1068/question/4.xml
2967.5307273864746,8843.349695205688,0.9679924242424243,1,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1068/question/5.xml
103.29771041870117,345.0024127960205,0.6070532043375475,0.6708314528614704,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1068/question/6.xml
142.9736614227295,15503.604173660278,0.5007765163834045,0.5772097031324203,1,1,9,./../../Downloads/dataset_full/dataset_full/math/106964/question/0.xml
125.99515914916992,213.57226371765137,0.8888888888888888,0.8888888888888888,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1070330/question/0.xml
136.75999641418457,12624.029159545898,0.73125,0.7907281843452056,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1070330/question/1.xml
274.0623950958252,1073.699951171875,0.9709595959595959,0.9709595959595959,1,1,1,./../../Downloads/dataset_full/dataset_full/math/1070575/question/6.xml
627.3620128631592,4619.985103607178,0.8745833333333333,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1076177/question/0.xml
692.842960357666,4595.499277114868,0.84525,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1076177/question/1.xml
625.075101852417,4519.842863082886,0.7891507024265645,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1076177/question/2.xml
663.7978553771973,4594.598293304443,0.7612803320561942,1,1,1,4,./../../Downloads/dataset_full/dataset_full/math/1076177/question/3.xml
127.32219696044922,13646.406888961792,0.5296630988218853,0.6274103724752907,1,1,9,./../../Downloads/dataset_full/dataset_full/math/107931/question/2.xml
137.72106170654297,13731.146097183228,0.5236514326295006,0.6274103724752907,1,1,9,./../../Downloads/dataset_full/dataset_full/math/107931/question/3.xml
173.39205741882324,4297.586679458618,0.8104651834208485,1,1,1,2,./../../Downloads/dataset_full/dataset_full/math/1080016/question/2.xml
356.3249111175537,19626.89471244812,0.7053518013906338,0.7527177624232242,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1080016/question/3.xml
637.5432014465332,6066.986322402954,0.7378981741699323,0.7261038623727505,1,1,5,./../../Downloads/dataset_full/dataset_full/math/1080016/question/4.xml
