File,Number of Operators,B+ Execution Time 1,B+ Execution Time 2,B+ Execution Time 3,B+ Execution Time 4,Average B+ Execution Time,Sequential Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,Fastest Approach,B+ Average Score,Sequential Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,Best Scoring Approach
1024280/question/3.xml,2,2495.650291442871,2422.6536750793457,2390.106678009033,2515.887975692749,2456.0746550559998,73402.32563018799,12119.250774383543,2385.293483734131,12880.25975227356,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1024280/question/4.xml,5,114.2563819885254,88.35744857788086,105.64804077148438,111.12332344055176,104.8462986946106,80175.86874961853,12795.934200286863,87.1891975402832,13306.310892105104,B-Tree,0.6459320273045763,0.9692460317460316,0.8917075163398693,0.6459320273045763,0.8917075163398693,Sequential
1024280/question/5.xml,4,2641.5483951568604,2529.0310382843018,2531.1520099639893,2679.8741817474365,2595.401406288147,77919.0866947174,13129.668712615969,2500.938415527344,13420.545101165771,B-Tree,0.8984159790042143,1.0,1.0,0.8984159790042143,1.0,Sequential/Secondary/Clustering
1024280/question/6.xml,4,2718.698024749756,2650.162935256958,2631.798505783081,2749.2382526397705,2687.4744296073914,81071.0072517395,13904.354095458984,2588.0661010742188,14187.78133392334,B-Tree,0.8268627450980393,0.8983928571428571,0.8983928571428571,0.8268627450980393,0.8983928571428571,Sequential/Secondary/Clustering
1024280/question/7.xml,3,1027.6172161102295,1064.4173622131348,1002.9497146606444,1030.3969383239746,1031.3453078269958,76085.13522148132,9462.645292282104,963.6476039886476,9362.727165222168,B-Tree,0.8137939094556742,1.0,0.9061458333333332,0.8137939094556742,0.9061458333333332,Sequential
1024280/question/8.xml,5,652.3544788360596,709.0706825256348,620.1133728027344,655.0893783569336,659.1569781303406,86041.87798500061,14598.806142807009,615.4294013977051,14779.639482498167,B-Tree,0.7278382776011503,0.8081530888596106,0.804687049062049,0.7278382776011503,0.804687049062049,Sequential
1024280/question/9.xml,3,293.1094169616699,300.8718490600586,273.0436325073242,294.8894500732422,290.47858715057373,77181.16497993469,12902.190446853638,289.34192657470703,13238.109350204468,B+-Tree,0.6820183360700602,0.9442692307692307,0.9170649509803922,0.6820183360700602,0.9170649509803922,Sequential
1025690/question/4.xml,1,2053.760766983032,2036.67426109314,1905.308723449707,2105.006694793701,2025.187611579895,70292.3572063446,8117.14506149292,1901.8282890319824,8374.04465675354,B-Tree,0.9903549382716048,1.0,1.0,0.9903549382716048,1.0,Sequential/Secondary/Clustering
1025690/question/5.xml,1,2992.1650886535645,2831.9709300994878,2754.2996406555176,3024.753332138061,2900.7972478866577,74491.26982688904,8668.193101882935,2751.699447631836,8816.396951675415,B-Tree,0.7552350427350427,0.8072916666666667,0.7508479020979021,0.7552350427350427,0.7508479020979021,Sequential
10274/question/1.xml,1,2935.7481002807617,2880.740165710449,2758.1467628479004,2937.678337097168,2878.07834148407,73861.1958026886,8743.442296981812,2764.720678329468,8860.74423789978,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
10274/question/2.xml,1,768.730878829956,727.2043228149414,673.8975048065186,732.8000068664551,725.6581783294678,71772.27330207825,1454.331398010254,703.6566734313965,1469.447135925293,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
102849/question/10.xml,1,2104.475259780884,2092.8664207458496,1967.754602432251,2093.7771797180176,2064.7183656692505,70844.85054016113,8439.026594161987,1945.2102184295652,8468.796491622925,B-Tree,1.0,1.0,1.0,1.0,1.0,All
102849/question/11.xml,2,366.6894435882568,362.0414733886719,329.14090156555176,344.27881240844727,350.53765773773193,77915.83037376404,948.8604068756104,312.6413822174072,1013.7746334075928,B-Tree,0.8889804639804639,0.8938770604395605,0.8860042735042735,0.8889804639804639,0.8860042735042735,Sequential
102849/question/12.xml,2,465.6648635864258,433.5107803344727,423.5680103302002,468.5509204864502,447.8236436843872,75291.93377494812,994.8077201843262,455.007791519165,953.3181190490724,B+-Tree,0.7018535550600767,0.746712158808933,0.7459978730946473,0.7018535550600767,0.7459978730946473,Sequential
102849/question/13.xml,2,344.2652225494385,336.414098739624,316.67065620422363,342.989444732666,335.08485555648804,77380.6848526001,1000.844955444336,326.71260833740234,984.7979545593262,B+-Tree,0.8889804639804639,0.860415521978022,0.8860042735042735,0.8889804639804639,0.8860042735042735,B+-Tree/B-Tree
102849/question/14.xml,2,436.7175102233887,475.68202018737793,420.5648899078369,459.6595764160156,448.1559991836548,75974.54047203064,956.6779136657716,424.56984519958496,994.1425323486328,B+-Tree,0.7367979242979242,0.7588319088319089,0.7427899877899877,0.7367979242979242,0.7427899877899877,Sequential
102849/question/18.xml,2,373.03638458251953,318.5310363769531,358.0913543701172,332.5226306915283,345.54535150527954,77490.89169502258,976.3357639312744,322.2191333770752,993.7036037445068,B+-Tree,1.0,1.0,0.9736111111111112,1.0,0.9736111111111112,B+-Tree/B-Tree/Sequential
102849/question/19.xml,2,440.29951095581055,487.6084327697754,415.1151180267334,484.6715927124024,456.9236636161804,76271.17562294006,950.9193897247314,416.2197113037109,936.6092681884766,B+-Tree,0.7553124999999999,0.778974358974359,0.7730448717948718,0.7553124999999999,0.7730448717948718,Sequential
102849/question/2.xml,1,3051.861524581909,2890.970468521118,2783.734083175659,2969.8636531829834,2924.1074323654175,74654.3595790863,8777.413129806519,2773.401021957397,8811.237096786499,B-Tree,0.9346590909090908,1.0,0.9535094535094536,0.9346590909090908,0.9535094535094536,Sequential
102849/question/3.xml,1,3034.932374954224,2910.1266860961914,2769.5887088775635,2940.4804706573486,2913.782060146332,73949.91207122803,8807.397842407227,2765.5086517333984,8847.576379776001,B-Tree,0.9157196969696968,0.9267482517482516,0.8884305798368298,0.9157196969696968,0.8884305798368298,Sequential
102849/question/4.xml,1,3000.5714893341064,2914.5874977111816,2760.309219360352,2950.994968414306,2906.6157937049866,74242.91682243347,8903.13196182251,2744.5521354675293,8811.116933822632,B-Tree,1.0,1.0,1.0,1.0,1.0,All
102885/question/0.xml,2,2393.301486968994,2261.169195175171,2152.371883392334,2370.258331298828,2294.275224208832,73200.15001296997,11607.977867126465,2098.8776683807373,12313.851594924929,B-Tree,1.0,1.0,1.0,1.0,1.0,All
102885/question/1.xml,4,124.50742721557616,128.56411933898926,96.57144546508788,123.98386001586914,118.40671300888062,84411.82255744934,14040.66777229309,105.87525367736816,14971.007108688354,B+-Tree,0.7328150594217254,0.8070430113534776,0.8024682758268559,0.7328150594217254,0.8024682758268559,Sequential
102885/question/3.xml,10,217.0872688293457,238.9125823974609,188.39788436889648,210.30139923095703,213.67478370666504,99135.8642578125,17160.52293777466,203.1898498535156,17495.308876037598,B+-Tree,0.7898353835086291,1.0,1.0,0.7898353835086291,1.0,Sequential/Secondary/Clustering
102885/question/6.xml,14,187.3197555541992,201.94029808044436,151.82900428771973,137.7875804901123,169.7191596031189,112290.0938987732,20248.921632766724,146.12078666687012,20350.918292999268,B+-Tree,0.5506953484182309,0.6098869717900904,0.6089902519319343,0.5506953484182309,0.6089902519319343,Sequential
102885/question/7.xml,1,120.58067321777344,132.65490531921387,116.37353897094728,117.4767017364502,121.77145481109619,63457.94749259949,3104.8240661621094,125.108003616333,3144.7455883026123,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
102885/question/8.xml,2,2296.531915664673,2202.7530670166016,2141.533613204956,2305.549144744873,2236.591935157776,71784.01827812195,11530.45678138733,2110.023736953736,11661.251068115234,B-Tree,1.0,1.0,1.0,1.0,1.0,All
102885/question/9.xml,4,118.04938316345216,120.74470520019533,105.95107078552246,108.80255699157716,113.38692903518678,82368.63732337952,13863.03734779358,110.49723625183104,14098.849058151243,B+-Tree,0.7328150594217254,0.8070430113534776,0.8024682758268559,0.7328150594217254,0.8024682758268559,Sequential
1029813/question/0.xml,3,400.7689952850342,411.1695289611816,377.4821758270264,383.03470611572266,393.1138515472412,87990.18669128418,10357.803106307983,358.84642601013184,10672.563552856443,B-Tree,0.6701168554046988,0.9184135558260634,0.7316820125630824,0.6701168554046988,0.7316820125630824,Sequential
1029813/question/12.xml,13,131.79707527160645,139.45746421813965,120.76497077941896,127.44379043579102,129.865825176239,117407.320022583,6422.487497329712,140.8374309539795,6534.53254699707,B+-Tree,0.4901443828782776,0.6138676993893369,0.5878503215764102,0.4901443828782776,0.5878503215764102,Sequential
1029813/question/2.xml,1,199.98884201049805,193.99023056030276,192.84439086914065,195.53470611572263,195.58954238891602,64900.32815933228,590.1083946228027,187.5131130218506,609.4341278076172,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1029813/question/3.xml,1,2082.9057693481445,1968.5797691345213,1955.819129943848,2081.651210784912,2022.2389698028564,71162.05215454102,8074.630260467529,1934.6768856048584,8509.731531143188,B-Tree,1.0,1.0,1.0,1.0,1.0,All
1029813/question/4.xml,2,264.4197940826416,259.00983810424805,230.87048530578613,281.2657356262207,258.8914632797241,73110.18133163452,8382.644414901733,268.21041107177734,9044.562339782717,B+-Tree,1.0,1.0,1.0,1.0,1.0,All
