File,Number of Operators,B+ Execution Time,Sequential Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,B+ Average Score,Sequential Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,B+ Max Score,Sequential Max Score,Secondary Max Score,B-Tree Max Score,Clustering Max Score
MathArticles/wpmath0000002/Complex_geometry/17.xml,6,555.6004047393799,365589.271068573,2297.346591949463,593.7581062316895,2813.342571258545,0.6320612235254834,0.8279739693722793,0.728693660836518,0.6320612235254834,0.728693660836518,1,1,1,1,1
MathArticles/wpmath0000008/Lie_coalgebra/4.xml,5,258.8036060333252,395552.1116256714,5189.947128295898,314.38612937927246,6221.104383468628,0.5600690400229571,0.596301913798063,0.5857721846767975,0.5600690400229571,0.5857721846767975,1,1,1,1,1
MathArticles/wpmath0000004/Ample_line_bundle/31.xml,7,571.9876289367676,474042.3204898834,29324.04351234436,578.1288146972656,29119.3585395813,0.5938220859143115,0.787560816384923,0.7570315967180611,0.5938220859143115,0.7570315967180611,1,1,1,1,1
MathArticles/wpmath0000009/Statistical_shape_analysis/1.xml,3,2430.894613265991,301057.7721595764,40545.33672332764,2469.254732131958,42048.36893081665,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000012/Yeoh_(hyperelastic_model)/12.xml,5,6513.481140136719,360109.6169948578,49728.61433029175,6361.660718917847,49254.648208618164,0.7748142340434658,0.8968337581972796,0.9489135158626684,0.7748142340434658,0.9489135158626684,1,1,1,1,1
MathArticles/wpmath0000005/Electromagnetically_induced_transparency/6.xml,2,530.379056930542,243322.10659980774,5376.7030239105225,547.2478866577148,5613.415718078613,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Simplex/32.xml,11,2843.5752391815186,687909.0802669525,167878.91960144043,2907.3214530944824,167509.5694065094,0.5334635566248307,0.7352301767854301,0.7046169911465612,0.5334635566248307,0.7046169911465612,1,1,1,1,1
MathArticles/wpmath0000014/Plancherel_measure/4.xml,1,245.6059455871582,229938.15875053406,281.7103862762451,281.2457084655762,406.1625003814697,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000004/Clausius–Mossotti_relation/1.xml,1,8484.334230422974,298550.2438545227,40237.70833015442,8439.970016479492,39809.60416793823,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000015/Symmetry_protected_topological_order/10.xml,1,2890.2387619018555,290923.95091056824,15599.488496780396,2876.8956661224365,16084.376573562622,0.8688555588555589,1,0.9862847222222222,0.8688555588555589,0.9862847222222222,1,1,1,1,1
MathArticles/wpmath0000009/Blom's_scheme/7.xml,2,8592.275857925415,408467.7460193634,55819.677114486694,8613.829851150513,55272.42994308472,0.6912693140232508,0.9011606566540067,0.8779353480120313,0.6912693140232508,0.8779353480120313,1,1,1,1,1
MathArticles/wpmath0000001/Dimension/14.xml,1,3732.283353805542,240043.49088668823,29855.815172195435,3797.8413105010986,29322.21817970276,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000003/Hyperfine_structure/21.xml,5,594.3243503570557,363018.5956954956,2641.4718627929688,658.6222648620605,3188.8768672943115,0.7426450400535335,0.8048791259759706,0.8033599984517781,0.7426450400535335,0.8033599984517781,1,1,1,1,1
MathArticles/wpmath0000009/Persymmetric_matrix/1.xml,4,686.5730285644531,990954.8437595367,142769.11115646362,719.1600799560547,143718.74380111694,0.4694883302326588,0.6781019286993859,0.6575862016577266,0.4694883302326588,0.6575862016577266,1,1,1,1,1
MathArticles/wpmath0000007/Buck_converter/62.xml,4,3201.075792312622,437726.8257141113,61185.6803894043,3250.79083442688,60314.59283828735,0.7635520726374083,0.8786459241491525,0.8784707483063197,0.7635520726374083,0.8784707483063197,1,1,1,1,1
MathArticles/wpmath0000003/Linear_least_squares_(mathematics)/178.xml,6,1480.8611869812012,473091.8641090393,28437.62493133545,1641.4117813110352,28079.936742782593,0.7441158346415374,0.8076850653060853,0.7877799217182525,0.7441158346415374,0.7877799217182525,1,1,1,1,1
MathArticles/wpmath0000015/Hamiltonian_constraint_of_LQG/80.xml,6,873.3794689178467,530593.12748909,1610.1770401000977,734.386682510376,1829.00071144104,0.4923365687284786,0.740754911584478,0.6744342923031251,0.4923365687284786,0.6744342923031251,1,1,1,1,1
MathArticles/wpmath0000002/Singular_value_decomposition/167.xml,1,7215.282201766968,273649.32560920715,35088.47427368164,7034.1246128082275,34729.43377494812,1,1,1,1,1,1,1,1,1,1
MathArticles/wpmath0000001/Numerical_aperture/24.xml,2,2356.5022945404053,407227.2617816925,55728.58762741089,2392.9905891418457,56219.016551971436,0.7708945271522094,0.7903655296110539,0.7854705507551301,0.7708945271522094,0.7854705507551301,1,1,1,1,1
MathArticles/wpmath0000005/Extended_X-ray_absorption_fine_structure/4.xml,5,949.6996402740479,427111.91272735596,58943.180561065674,953.7694454193115,58621.90937995911,0.6766154014211434,0.8195406384016828,0.8113060131986258,0.6766154014211434,0.8113060131986258,1,1,1,1,1
MathArticles/wpmath0000016/Quantum_refereed_game/7.xml,2,560.6980323791504,317852.2825241089,43474.98178482056,596.2188243865967,43030.08985519409,0.9179645445134575,1,1,0.9179645445134575,1,1,1,1,1,1
MathArticles/wpmath0000009/Tanaka's_formula/5.xml,5,6234.824419021606,370749.329328537,86815.43111801147,6162.094831466675,89345.62182426453,0.8712448844416057,1,1,0.8712448844416057,1,1,1,1,1,1
MathArticles/wpmath0000008/Crosswordese/23.xml,1,512.688398361206,266079.3297290802,1627.368688583374,515.6300067901611,2125.211477279663,1,1,1,1,1,1,1,1,1,1
