File,Original Average Score,Separated Average Score,Subscript Sensitve Average Score,Original Execution Time,Separated Execution Time,Subscript Sensitive Execution Time,Original Top 10 Average Score,Separated Top 10 Average Score,Subscript Sensitive Top 10 Average Score,Original Top 10 Max Score,Separated Top 10 Max Score,Subscript Sensitve Top 10 Max Score,Original Number of Results,Separated Number of Results,Subscript Sensitive Number of Results
MathArticles/wpmath0000005/Laplace–Beltrami_operator/62.xml,0.5273736220545306,0.5431193287774998,0.5458362371504649,628.8454532623291,640.1019096374512,642.8818702697754,0.52136793075112,0.5375367986334904,0.5458362371504649,1.0,1.0,1.0,13,11,10
MathArticles/wpmath0000005/Stokes_parameters/37.xml,1.0,1.0,1.0,314.46218490600586,314.5442008972168,376.9989013671875,0.8969971988795518,0.9272619047619048,0.7506837606837606,1.0,1.0,1.0,58,57,83
MathArticles/wpmath0000008/Divisor_summatory_function/47.xml,0.5328430753319049,0.5375620483288153,0.5673142488800506,475.0807285308838,465.9738540649414,444.1659450531006,0.5328430753319049,0.535492882777722,0.5417716148307495,1.0,1.0,1.0,10,11,14
MathArticles/wpmath0000006/Liquid–liquid_extraction/1.xml,0.6791228070175438,0.6791228070175438,0.6893062624206291,1300.7044792175293,673.7728118896484,636.8429660797119,0.396141684402554,0.4151117123617123,0.483361407593081,0.4543981481481481,0.45875,0.6183333333333333,2964,1094,1040
MathArticles/wpmath0000014/Nagata's_conjecture/0.xml,0.5353414683540417,0.5353414683540417,0.5353414683540417,471.2097644805908,580.1475048065186,658.710241317749,0.5353414683540417,0.5353414683540417,0.5353414683540417,1.0,1.0,1.0,10,10,10
MathArticles/wpmath0000003/Knuth–Bendix_completion_algorithm/32.xml,1.0,1.0,1.0,298.6559867858887,204.77032661437988,314.9228096008301,0.5730082022268723,0.6203885971055089,0.6379498910675382,0.74,1.0,0.74,205,62,347
MathArticles/wpmath0000001/Uniform_convergence/107.xml,1.0,1.0,1.0,469.2504405975342,429.95643615722656,501.7917156219482,0.7128004361827891,0.934253003003003,0.8604617117117117,0.7411764705882353,1.0,1.0,138,35,50
MathArticles/wpmath0000004/Resting_potential/0.xml,0.5246812454000126,0.4661147226040196,0.581228014599935,2511.435270309448,533.2052707672119,1446.136474609375,0.3661120530249973,0.362088017849609,0.3900839625882283,0.4152498444951275,0.4512624363384819,0.4823602549212304,417,25,345
MathArticles/wpmath0000004/Iwasawa_decomposition/17.xml,0.675421490271044,0.6971825740148865,0.7518942784190195,393.9251899719238,393.0966854095459,444.0164566040039,0.4471471053867516,0.5694188896033784,0.5554628744427081,0.6191558441558441,1.0,0.6643939393939393,63,20,95
MathArticles/wpmath0000014/Pearl_vortex/2.xml,0.8942609478068275,0.8461482238972128,0.8546262587441448,878.0384063720703,486.3932132720947,577.4600505828857,0.5954936254530051,0.6194823031572652,0.5345594354093839,0.8040760869565218,1.0,0.7541666666666667,851,273,348
MathArticles/wpmath0000004/Comma_category/154.xml,0.705796391704335,0.705796391704335,0.6928398115114753,502.2132396697998,516.7648792266846,505.0928592681885,0.7018345205061843,0.7018345205061843,0.6928398115114753,1.0,1.0,1.0,12,12,10
MathArticles/wpmath0000009/Kutta–Joukowski_theorem/40.xml,1.0,0.9595223195661244,1.0,1895.7226276397705,879.7903060913086,1158.623456954956,0.6125968254585444,0.5878907910013353,0.666079021724969,1.0,0.6673395445134576,1.0,2831,793,1533
MathArticles/wpmath0000006/Dini_derivative/1.xml,0.6080766684857304,0.6080766684857304,0.6373005369528473,313.6153221130371,376.4810562133789,396.3127136230469,0.5878862908961593,0.5878862908961593,0.4746648525094789,1.0,1.0,1.0,14,14,30
MathArticles/wpmath0000014/Template_Subatomic_particle__symbol__chargino_i-+/0.xml,1.0,1.0,1.0,438.2815361022949,281.5847396850586,304.0919303894043,0.8075,0.9055769230769232,0.9055769230769232,1.0,1.0,1.0,837,499,499
MathArticles/wpmath0000003/Incidence_matrix/15.xml,0.9126609848484848,0.9126609848484848,0.8867724867724868,850.9020805358887,514.2252445220947,439.3618106842041,0.5497339040416289,0.5558142350009923,0.5823518518518518,0.6203763440860215,0.6,0.6358333333333333,1340,757,606
MathArticles/wpmath0000004/Trigonometric_interpolation/12.xml,1.0,1.0,1.0,5911.604404449463,4014.7879123687744,6648.217916488648,0.7250408203325824,0.7250408203325824,0.7130387205387205,0.7593103448275862,0.7593103448275862,0.8059259259259259,16189,10667,18482
MathArticles/wpmath0000014/Duality_gap/1.xml,1.0,1.0,1.0,501.9662380218506,426.0413646697998,439.9371147155762,1.0,1.0,1.0,1.0,1.0,1.0,1124,1114,1175
MathArticles/wpmath0000012/Leggett–Garg_inequality/0.xml,1.0,1.0,1.0,404.4456481933594,407.0918560028076,423.5918521881104,0.8733589743589744,0.9041041666666668,0.8166107804232804,1.0,1.0,1.0,63,38,55
MathArticles/wpmath0000009/Eilenberg–Moore_spectral_sequence/2.xml,0.4421741171635408,0.4489064944126376,0.4277506175353686,220.33143043518064,329.21385765075684,226.46832466125488,0.4369445253268061,0.4407121328061204,0.4277506175353686,1.0,1.0,1.0,12,22,10
MathArticles/wpmath0000007/Lamm_equation/0.xml,0.5471871415456787,0.5583176934175202,0.5789534923166925,595.8640575408936,659.68918800354,716.6092395782471,0.5471871415456787,0.5245590787701662,0.5346514192803827,1.0,1.0,1.0,10,16,17
MathArticles/wpmath0000015/Oversampled_binary_image_sensor/23.xml,1.0,1.0,1.0,4255.445718765259,3670.356035232544,5668.319225311279,0.8701350740984888,0.8701350740984888,0.8701350740984888,1.0,1.0,1.0,15594,13851,18482
MathArticles/wpmath0000009/Quantum_amplifier/9.xml,1.0,1.0,1.0,565.5989646911621,468.8434600830078,635.4632377624512,0.9632352941176472,0.9632352941176472,0.8529411764705882,1.0,1.0,1.0,1567,1551,2062
MathArticles/wpmath0000001/Electrical_impedance/18.xml,1.0,1.0,1.0,1584.2504501342771,1081.4085006713867,1697.568655014038,0.6516429287199242,0.6663755937157471,0.6431096162721381,0.7178571428571427,0.7321428571428571,0.7178571428571427,2820,1488,2606
MathArticles/wpmath0000005/Recursive_least_squares_filter/2.xml,1.0,1.0,1.0,4251.809120178223,3684.321641921997,5555.656909942627,0.8687837227471374,0.8687837227471374,0.8687837227471374,1.0,1.0,1.0,15594,13851,18482
MathArticles/wpmath0000014/Factor_regression_model/15.xml,1.0,0.8581619686218743,1.0,2353.4719944000244,1003.814458847046,1288.04349899292,0.5225727777746746,0.5351336300060973,0.5858900271854508,0.7025,0.690188679245283,0.7845454545454545,3203,913,1533
MathArticles/wpmath0000012/Network_science/11.xml,1.0,1.0,1.0,5221.868753433228,1943.0203437805176,2391.3397789001465,0.5539413433926526,0.5765788360925319,0.5130430601064475,0.6035416666666666,0.6816666666666666,0.5842528735632184,13427,4252,5161
MathArticles/wpmath0000002/Phonon/130.xml,0.5039923695248226,0.5014737525200711,0.5367697081519929,612.1399402618408,643.6803340911865,748.039960861206,0.4968300273636408,0.4934913934112164,0.5367697081519929,1.0,1.0,1.0,12,11,11
MathArticles/wpmath0000014/Ultrasensitivity/25.xml,0.5845021860081522,0.5757324174162136,0.6164398936182262,423.142671585083,454.6473026275635,424.7596263885498,0.5576983852220694,0.5564223553538022,0.593042958463728,1.0,1.0,1.0,21,18,18
MathArticles/wpmath0000001/Original_proof_of_Gödel's_completeness_theorem/28.xml,0.5482688931367828,0.5482688931367828,0.5482688931367828,563.0006790161133,613.4676933288574,661.4851951599121,0.5482688931367828,0.5482688931367828,0.5482688931367828,1.0,1.0,1.0,10,10,10
MathArticles/wpmath0000002/Algebraic_integer/17.xml,1.0,1.0,1.0,673.5398769378662,674.6301651000977,847.1360206604004,0.9345238095238096,0.9345238095238096,0.9345238095238096,1.0,1.0,1.0,2541,2516,3203
MathArticles/wpmath0000016/Briggs–Bers_criterion/34.xml,1.0,1.0,1.0,2321.187734603882,1518.6269283294678,2216.1903381347656,0.7126633909389154,0.8135006901311249,0.8082848914370654,0.9305555555555556,1.0,1.0,7505,4754,6571
MathArticles/wpmath0000013/Entanglement-assisted_stabilizer_formalism/28.xml,1.0,1.0,1.0,517.9204940795898,314.6991729736328,576.7836570739746,0.5879529053500461,0.7799237616798227,0.657497115714759,0.781547619047619,1.0,0.781547619047619,497,140,668
MathArticles/wpmath0000003/Canonical_transformation/88.xml,0.5486963344448305,0.5580618747443209,0.5518615974455044,501.7633438110352,469.71797943115234,489.37177658081055,0.5486963344448305,0.5540879384548555,0.5412128705328565,1.0,1.0,1.0,10,12,12
MathArticles/wpmath0000007/Hölder_condition/12.xml,0.4813080901800868,0.4859147038185171,0.4793637179230017,736.6542816162109,800.9662628173828,771.9111442565918,0.4813080901800868,0.4674908470770292,0.4793637179230017,1.0,1.0,1.0,10,12,10
MathArticles/wpmath0000004/Complex_projective_space/3.xml,0.4991852611889005,0.5033260459414146,0.4917750744050952,642.7545547485352,672.508716583252,617.107629776001,0.4903663487924302,0.4915918147091122,0.4790686827360236,1.0,1.0,1.0,16,15,14
MathArticles/wpmath0000016/Approximation-preserving_reduction/38.xml,0.5749806495527803,0.5783738607891347,0.5643637796286924,534.0168476104736,564.7504329681396,583.7478637695312,0.5749806495527803,0.5676396648147927,0.5643637796286924,1.0,1.0,1.0,10,11,10
MathArticles/wpmath0000001/Quadratic_equation/150.xml,1.0,1.0,1.0,691.077470779419,547.9462146759033,557.7692985534668,0.6052468454548798,0.5979848073981365,0.5975401872460695,0.7005758807588076,0.7676282051282051,0.7676282051282051,631,233,287
MathArticles/wpmath0000013/Higher-dimensional_gamma_matrices/118.xml,0.5322449585719673,0.5546458092423373,0.5600295300595549,611.5798950195312,705.0464153289795,705.7943344116211,0.5203091866739479,0.5278761516043272,0.553476350126483,1.0,1.0,1.0,12,15,15
MathArticles/wpmath0000005/Differential_algebra/13.xml,1.0,1.0,1.0,627.094030380249,611.6197109222412,799.1900444030762,0.9345238095238096,0.9345238095238096,0.9345238095238096,1.0,1.0,1.0,2541,2516,3203
MathArticles/wpmath0000001/Borel-Cantelli_lemma/45.xml,1.0,0.9337006079027356,1.0,1913.3479595184328,800.7261753082275,1036.3411903381348,0.5374774899003835,0.6638979006002939,0.6221860070194892,0.6432497467071935,1.0,0.8262987012987013,2831,793,1163
MathArticles/wpmath0000007/Push–relabel_maximum_flow_algorithm/18.xml,0.8832850193631865,0.8949397892074795,0.9010408095794727,1557.542324066162,981.4975261688232,1050.2445697784424,0.522717122188654,0.5772007335573573,0.5447840395892907,0.6175170068027211,1.0,0.6364169215086646,696,217,257
