File,Number of Operators,B+ Execution Time,Secondary Execution Time,B-Tree Execution Time,Clustering Execution Time,B+ Average Score,Secondary Average Score,B-Tree Average Score,Clustering Average Score,B+ Max Score,Secondary Max Score,B-Tree Max Score,Clustering Max Score
MathArticles/wpmath0000007/Glivenko–Cantelli_theorem/31.xml,13,746.6080188751221,2797.1861362457275,859.8630428314209,2720.9208011627197,0.6587306518199699,0.8085893302227949,0.6587306518199699,0.8085893302227949,1,1,1,1
MathArticles/wpmath0000005/Newton's_method_in_optimization/12.xml,2,6582.913398742676,57030.811071395874,6532.114028930664,56405.006885528564,1,1,1,1,1,1,1,1
MathArticles/wpmath0000008/History_of_Lorentz_transformations/28.xml,2,682.6267242431641,2407.9315662384033,703.1240463256836,2250.666618347168,1,1,1,1,1,1,1,1
MathArticles/wpmath0000014/Ex-tangential_quadrilateral/10.xml,3,3935.8367919921875,25496.512174606323,3767.2884464263916,24851.77969932556,0.8245955383382437,0.8716694686662674,0.8245955383382437,0.8716694686662674,1,1,1,1
MathArticles/wpmath0000016/Ring_Learning_with_Errors/39.xml,2,6529.975175857544,57097.344636917114,6503.941535949707,57175.90403556824,1,1,1,1,1,1,1,1
MathArticles/wpmath0000002/Tychonoff's_theorem/2.xml,7,747.0738887786865,62.499284744262695,828.1264305114746,78.47714424133301,0.6531773716104345,0.6195975493724954,0.6531773716104345,0.6195975493724954,1,1,1,1
MathArticles/wpmath0000016/Symmetry_in_quantum_mechanics/116.xml,24,980.4494380950928,9817.559957504272,968.7516689300537,9770.111083984375,0.6333926580660882,0.6860474055585449,0.6333926580660882,0.6860474055585449,1,1,1,1
MathArticles/wpmath0000003/Octahedral_number/8.xml,6,998.2681274414062,29011.39521598816,968.7561988830566,28931.75196647644,0.7125215005554034,0.8053010263512084,0.7125215005554034,0.8053010263512084,1,1,1,1
MathArticles/wpmath0000014/Classical_central-force_problem/58.xml,10,3156.1484336853027,155904.26087379456,3126.4655590057373,156018.66817474365,0.6645228605431227,0.8388040985870079,0.6645228605431227,0.8388040985870079,1,1,1,1
MathArticles/wpmath0000014/Oscillator_representation/113.xml,5,918.046236038208,89978.590965271,906.2492847442627,89276.26276016235,0.9556334278748072,1,0.9556334278748072,1,1,1,1,1
MathArticles/wpmath0000002/Bruun's_FFT_algorithm/40.xml,5,1201.8165588378906,22946.237564086914,1235.1861000061035,22244.7669506073,0.8972780158666072,0.9213220551378447,0.8972780158666072,0.9213220551378447,1,1,1,1
MathArticles/wpmath0000001/Stochastic_process/24.xml,1,1621.6020584106445,2859.9026203155518,1406.6226482391357,2734.7311973571777,1,1,1,1,1,1,1,1
MathArticles/wpmath0000005/Eisenstein_series/49.xml,10,1464.341402053833,146329.89501953125,1484.7235679626465,145881.10780715942,0.733661161350493,0.7613298848435699,0.733661161350493,0.7613298848435699,1,1,1,1
MathArticles/wpmath0000004/Incompressible_surface/1.xml,1,325.639009475708,3267.1945095062256,343.747615814209,3172.745943069458,1,1,1,1,1,1,1,1
MathArticles/wpmath0000005/Representation_theory_of_the_Galilean_group/29.xml,3,1200.9201049804688,55833.821058273315,1250.6189346313477,55510.50877571106,0.8133951403687056,0.8991831489660543,0.8133951403687056,0.8991831489660543,1,1,1,1
MathArticles/wpmath0000016/Chirp_spectrum/32.xml,10,808.8192939758301,4984.949350357056,813.856840133667,4844.423055648804,0.5698918839186965,0.6354227427013058,0.5698918839186965,0.6354227427013058,1,1,1,1
MathArticles/wpmath0000007/Wet-bulb_temperature/14.xml,3,1448.5173225402832,66116.58692359924,1297.2326278686523,65077.88109779358,0.9549486461251167,0.9503778594771242,0.9549486461251167,0.9503778594771242,1,1,1,1
MathArticles/wpmath0000002/Dual-modulus_prescaler/3.xml,5,593.3940410614014,56491.32966995239,609.2994213104248,55750.508308410645,0.44384610111718026,0.7857278572250787,0.44384610111718026,0.7857278572250787,1,1,1,1
