B+ Execution Time (ms),Sequential Execution Time (ms),Difference Between Results,Number of Operators,Same Top Result,Top Result Included,File
649.0602493286133,79083.1892490387,84,2,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/3.xml
293.26534271240234,71702.73542404175,49,1,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/4.xml
158.49828720092773,97145.6687450409,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/5.xml
85.60872077941895,86305.04083633423,14,6,True,True,./../../Downloads/dataset_full/dataset_full/math/10400/question/6.xml
152.47178077697754,79859.83848571777,9,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1040128/question/0.xml
2823.9963054656982,69666.92638397217,2835,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1040128/question/1.xml
129.31036949157715,95587.77737617493,15,9,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/1.xml
50.628662109375,64252.66075134277,26,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/17.xml
127.62284278869629,80299.89528656006,12,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/19.xml
1332.6308727264404,72455.73329925537,73,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/2.xml
1046.9403266906738,68616.79363250732,17,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/20.xml
159.30891036987305,103776.4961719513,13,10,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/4.xml
154.77323532104492,114700.80661773682,13,13,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/6.xml
133.27765464782715,84604.77781295776,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1040314/question/7.xml
395.02525329589844,65657.1307182312,28,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1040477/question/0.xml
362.54191398620605,65030.65299987793,0,1,True,True,./../../Downloads/dataset_full/dataset_full/math/104270/question/0.xml
211.99798583984375,67913.98739814758,12,2,True,True,./../../Downloads/dataset_full/dataset_full/math/104270/question/1.xml
358.3509922027588,64732.786417007446,36,1,True,True,./../../Downloads/dataset_full/dataset_full/math/104270/question/3.xml
426.99432373046875,70068.93730163574,16,1,True,True,./../../Downloads/dataset_full/dataset_full/math/104270/question/4.xml
128.0674934387207,104056.95033073425,17,11,True,True,./../../Downloads/dataset_full/dataset_full/math/10490/question/0.xml
324.5863914489746,71066.86329841614,2,1,False,True,./../../Downloads/dataset_full/dataset_full/math/10490/question/1.xml
216.60423278808594,67324.37515258789,8,2,False,True,./../../Downloads/dataset_full/dataset_full/math/105107/question/1.xml
161.4515781402588,57950.81400871277,102,1,False,True,./../../Downloads/dataset_full/dataset_full/math/105107/question/3.xml
1177.8903007507324,89004.5657157898,21,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/0.xml
649.7302055358887,68954.94985580444,194,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/1.xml
626.2450218200684,69117.52390861511,530,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/2.xml
2141.080379486084,67068.62807273865,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/3.xml
2112.7359867095947,67801.23972892761,2159,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1052870/question/4.xml
736.2625598907471,74476.99332237244,96,3,False,True,./../../Downloads/dataset_full/dataset_full/math/105330/question/0.xml
645.9624767303467,67662.67228126526,530,3,False,True,./../../Downloads/dataset_full/dataset_full/math/105330/question/1.xml
621.5448379516602,67375.75793266296,530,3,False,True,./../../Downloads/dataset_full/dataset_full/math/105330/question/2.xml
514.1918659210205,100820.66869735718,16,5,True,True,./../../Downloads/dataset_full/dataset_full/math/105330/question/3.xml
2663.1219387054443,66888.66877555847,2835,1,False,True,./../../Downloads/dataset_full/dataset_full/math/1054719/question/0.xml
139.59527015686035,65123.94022941589,29,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1055501/question/0.xml
669.4180965423584,77459.59734916687,14,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1055538/question/0.xml
106.46843910217285,70875.55694580078,13,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1055538/question/1.xml
107.88631439208984,70813.45319747925,13,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1055538/question/3.xml
306.5454959869385,76333.29582214355,22,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1056707/question/0.xml
861.5500926971436,70622.04670906067,116,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1056707/question/1.xml
62.555551528930664,90576.64346694946,13,5,True,True,./../../Downloads/dataset_full/dataset_full/math/106126/question/2.xml
1296.8940734863281,71046.81205749512,1099,3,False,True,./../../Downloads/dataset_full/dataset_full/math/1067078/question/0.xml
297.87588119506836,69497.36404418945,277,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1067078/question/1.xml
116.97626113891602,101482.94639587402,18,5,True,True,./../../Downloads/dataset_full/dataset_full/math/1067078/question/2.xml
100.83317756652832,71434.84091758728,9,3,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/0.xml
1840.2249813079834,76044.75092887878,248,2,False,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/1.xml
59.033870697021484,64165.9197807312,12,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/3.xml
67.00372695922852,73098.10066223145,13,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/4.xml
2749.969482421875,68232.5279712677,4,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/5.xml
111.22536659240723,78680.00507354736,13,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1068/question/6.xml
138.0903720855713,121612.14423179626,14,9,True,True,./../../Downloads/dataset_full/dataset_full/math/106964/question/0.xml
139.46223258972168,66322.12376594543,10,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1070330/question/0.xml
113.01994323730469,69838.53483200073,10,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1070330/question/1.xml
260.7917785644531,69641.08276367188,3,1,True,True,./../../Downloads/dataset_full/dataset_full/math/1070575/question/6.xml
626.075267791748,82103.45315933228,41,4,False,True,./../../Downloads/dataset_full/dataset_full/math/1076177/question/0.xml
611.2639904022217,81976.39417648315,31,4,False,True,./../../Downloads/dataset_full/dataset_full/math/1076177/question/1.xml
612.6673221588135,81867.19465255737,16,4,True,True,./../../Downloads/dataset_full/dataset_full/math/1076177/question/2.xml
610.0351810455322,83128.51238250732,33,4,False,True,./../../Downloads/dataset_full/dataset_full/math/1076177/question/3.xml
133.27264785766602,108481.0597896576,15,9,True,True,./../../Downloads/dataset_full/dataset_full/math/107931/question/2.xml
125.48065185546875,110007.14564323425,15,9,True,True,./../../Downloads/dataset_full/dataset_full/math/107931/question/3.xml
183.35890769958496,85385.21146774292,43,2,True,True,./../../Downloads/dataset_full/dataset_full/math/1080016/question/2.xml
